Bildnummer,Y Koordinate,X Koordinate,Legende DE **,Legende FR **,Legende IT **,Legende EN **,Map.geo.admin.ch link,Kommentar
cimg2342,254130,759500,<b>Oberegg - St. Anton Oberegg - Skilift</b> Baujahr: <b>1965</b>,<b>Oberegg - St. Anton Oberegg - Téléski</b> Année de construction: <b>1965</b>,<b>Oberegg - St. Anton Oberegg - Skilift</b> Anno di costruzione: <b>1965</b>,<b>Oberegg - St. Anton Oberegg - ski lift</b> Year of construction: <b>1965</b>,Prüflink,
517_2455a,145299,609842,<b>Birg - Engstligenalp 1 Adelboden - Pendelbahn</b> Baujahr: <b>1937/1963</b>,<b>Birg - Engstligenalp 1 Adelboden - Téléphérique à va-et-vient</b> Année de construction: <b>1937/1963</b>,<b>Birg - Engstligenalp 1 Adelboden - Funivia a va e vieni</b> Anno di costruzione: <b>1937/1963</b>,<b>Birg - Engstligenalp 1 Adelboden - aerial tramway</b> Year of construction: <b>1937/1963</b>,Prüflink,
cimg1856,172706,628857,<b>Waldegg - Howald Beatenberg - Skilift</b> Baujahr: <b>1966</b>,<b>Waldegg - Howald Beatenberg - Téléski</b> Année de construction: <b>1966</b>,<b>Waldegg - Howald Beatenberg - Skilift</b> Anno di costruzione: <b>1966</b>,<b>Waldegg - Howald Beatenberg - ski lift</b> Year of construction: <b>1966</b>,Prüflink,
19860802_ikss__0001,162755,666480,<b>Handegg - Handeggfluh Guttannen - Standseilbahn</b> Baujahr: <b>1948</b>,<b>Handegg - Handeggfluh Guttannen - Funiculaire</b> Année de construction: <b>1948</b>,<b>Handegg - Handeggfluh Guttannen - Funiculare</b> Anno di costruzione: <b>1948</b>,<b>Handegg - Handeggfluh Guttannen - funicular railway</b> Year of construction: <b>1948</b>,Prüflink,
cimg4568,158149,668479,<b>Grimselnollen - Hausenegg Guttannen - Pendelbahn</b> Baujahr: <b>1957</b>,<b>Grimselnollen - Hausenegg Guttannen - Téléphérique à va-et-vient</b> Année de construction: <b>1957</b>,<b>Grimselnollen - Hausenegg Guttannen - Funivia a va e vieni</b> Anno di costruzione: <b>1957</b>,<b>Grimselnollen - Hausenegg Guttannen - aerial tramway</b> Year of construction: <b>1957</b>,Prüflink,
19920806_ikss__0002,171066,661645,<b>Urweid - Chapf Innertkirchen - Standseilbahn</b> Baujahr: <b>1940</b>,<b>Urweid - Chapf Innertkirchen - Funiculaire</b> Année de construction: <b>1940</b>,<b>Urweid - Chapf Innertkirchen - Funiculare</b> Anno di costruzione: <b>1940</b>,<b>Urweid - Chapf Innertkirchen - funicular railway</b> Year of construction: <b>1940</b>,Prüflink,
cimg1884,188115,618268,<b>Schindelberg I Linden - Skilift</b> Baujahr: <b>1950</b>,<b>Schindelberg I Linden - Téléski</b> Année de construction: <b>1950</b>,<b>Schindelberg I Linden - Skilift</b> Anno di costruzione: <b>1950</b>,<b>Schindelberg I Linden - ski lift</b> Year of construction: <b>1950</b>,Prüflink,
cimg2015,188112,618268,<b>Schindelberg II Linden - Skilift</b> Baujahr: <b>1969</b>,<b>Schindelberg II Linden - Téléski</b> Année de construction: <b>1969</b>,<b>Schindelberg II Linden - Skilift</b> Anno di costruzione: <b>1969</b>,<b>Schindelberg II Linden - ski lift</b> Year of construction: <b>1969</b>,Prüflink,
cimg1679,178776,598594,<b>Rüschegg - Lischboden Rüschegg - Skilift</b> Baujahr: <b>1968</b>,<b>Rüschegg - Lischboden Rüschegg - Téléski</b> Année de construction: <b>1968</b>,<b>Rüschegg - Lischboden Rüschegg - Skilift</b> Anno di costruzione: <b>1968</b>,<b>Rüschegg - Lischboden Rüschegg - ski lift</b> Year of construction: <b>1968</b>,Prüflink,
cimg1782,184781,634534,<b>Bumbach - Roseggli Schangnau - Skilift</b> Baujahr: <b>1960</b>,<b>Bumbach - Roseggli Schangnau - Téléski</b> Année de construction: <b>1960</b>,<b>Bumbach - Roseggli Schangnau - Skilift</b> Anno di costruzione: <b>1960</b>,<b>Bumbach - Roseggli Schangnau - ski lift</b> Year of construction: <b>1960</b>,Prüflink,
cimg1734b,174850,622950,<b>Wilerallmi - Alpiglen Sigriswil - Skilift</b> Baujahr: <b>1970</b>,<b>Wilerallmi - Alpiglen Sigriswil - Téléski</b> Année de construction: <b>1970</b>,<b>Wilerallmi - Alpiglen Sigriswil - Skilift</b> Anno di costruzione: <b>1970</b>,<b>Wilerallmi - Alpiglen Sigriswil - ski lift</b> Year of construction: <b>1970</b>,Prüflink,
517_8933,228950,583807,<b>La Golatte - Montoz Tavannes - Skilift</b> Baujahr: <b>1957</b>,<b>La Golatte - Montoz Tavannes - Téléski</b> Année de construction: <b>1957</b>,<b>La Golatte - Montoz Tavannes - Skilift</b> Anno di costruzione: <b>1957</b>,<b>La Golatte - Montoz Tavannes - ski lift</b> Year of construction: <b>1957</b>,Prüflink,
520_5671,189760,554862,<b>Téléski nautique Estavayer Estavayer-Le-Lac - Skilift</b> Baujahr: <b>1992</b>,<b>Téléski nautique Estavayer Estavayer-Le-Lac - Téléski</b> Année de construction: <b>1992</b>,<b>Téléski nautique Estavayer Estavayer-Le-Lac - Skilift</b> Anno di costruzione: <b>1992</b>,<b>Téléski nautique Estavayer Estavayer-Le-Lac - ski lift</b> Year of construction: <b>1992</b>,Prüflink,
518_3100,200895,719197,<b>Mattwald Braunwald - Skilift</b> Baujahr: <b>1968</b>,<b>Mattwald Braunwald - Téléski</b> Année de construction: <b>1968</b>,<b>Mattwald Braunwald - Skilift</b> Anno di costruzione: <b>1968</b>,<b>Mattwald Braunwald - ski lift</b> Year of construction: <b>1968</b>,Prüflink,
cimg3590,202955,721390,<b>Luchsingen - Brunnenberg Luchsingen - Pendelbahn</b> Baujahr: <b>1948</b>,<b>Luchsingen - Brunnenberg Luchsingen - Téléphérique à va-et-vient</b> Année de construction: <b>1948</b>,<b>Luchsingen - Brunnenberg Luchsingen - Funivia a va e vieni</b> Anno di costruzione: <b>1948</b>,<b>Luchsingen - Brunnenberg Luchsingen - aerial tramway</b> Year of construction: <b>1948</b>,Prüflink,
